Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,BodySize,BodyMass,median_n.pulses,median_drum_duration,median_pulseRateMedian,median_pulseRateDeviation,median_interval_min,median_interval_max,median_interv1_intervMax,median_intervL_intervMax,median_interval_slope_lm2_ordre_coefa,median_interval_nPVI,median_MeanAcc,median_drum_peak_F,median_Amp_pulses_min,median_Amp_pulses_first,median_Amp_pulses_last,median_Amp_pulses_Q25,median_Amp_pulses_Q75,median_Amp_pulses_IQR,median_nPAVI,median_Amp_slope_lm2_ordre_coefa,median_n_seq,median_interval_seq_median,median_PC1,median_PC2,median_PC3,median_PC4,median_PC5,median_PC6,median_LD1,median_LD2,median_LD3,median_LD4,median_LD5,median_LD6,median_LI,median_LI_Binary,median_SP_classif
Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.250596517,-0.887864955,0.088357105,1.574275297,-0.329995344,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.839696822,2.437253215,1.257846277,1.451604787,1.709063101,1.230135297,-1.245780561,-0.952962088,5.06E-18,-0.252345907,-1.14E-16,-3.991586987,2.886200725,-0.300096971,0.673245068,0.157648291,-0.631889779,-4.600921187,3.644147296,-5.666547186,3.642058152,0.464063534,-3.560194313,3.633641192,0.846755252,0.258165361
Campephilus_melanoleucos,Cam_mel,Campephilus,New_World,Neotropic,11657285.98,DA6,1,30,5,29,2,1,35.5,232.5,-1.193665143,-0.810159423,-1.053381367,0.285661683,0.360637605,0.176659048,0.561890408,-1.024422725,1.887006652,0.200282832,0.408839527,-0.602811399,-0.548268699,0.742753587,-1.062594323,-0.354889733,0.650043958,0.887864785,-0.550252717,-1.23054086,-0.252345907,-1.14E-16,-0.460476627,0.3827532,-3.186354097,-2.030521812,-0.65210417,0.045141355,1.359273562,2.1227769,-6.020667376,-2.020108787,-0.920630749,1.829842383,3.931685716,1.916139049,0.458068887
Campephilus_rubricollis,Cam_rub,Campephilus,New_World,Neotropic,5860897.45,DA5,2,21,3,21,3,2,32,208.5,-1.635452101,-1.262359619,-0.351610538,0.088357105,0.77204008,-0.459556852,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.668645287,1.960771283,1.257846277,1.020181285,1.080062258,1.230135297,-0.450607945,-0.920484665,5.06E-18,-0.252345907,-1.14E-16,-3.267362638,1.668578443,-1.01863451,0.796588673,0.045596629,-0.417853289,-4.778623096,1.950340953,-5.501347476,2.709502889,0.143139936,-2.210489295,3.319779082,0.411331231,0.169443899
Celeus_castaneus,Cel_cas,Celeus,New_World,Neotropic,327907.88,DA1,3,11,0,6,2,6,24,92.5,-0.221733835,-0.514382848,0.90806517,0.09070633,-0.697155474,-0.471027569,0.435972948,-0.003957507,-0.067714117,0.018883086,-0.145269764,-0.492981594,0.272121769,0.302463191,0.461209292,0.007528699,-0.191115348,-0.234348086,-0.158841126,0.240414857,-0.252345907,-1.14E-16,-0.624157442,-0.688922103,-0.184122407,1.21678424,-0.273164682,-0.286805927,-2.940209933,-2.11806238,-0.56510016,0.542695573,-0.505677644,-0.63861921,1.363017201,0.110681709,0.077072699
Celeus_elegans,Cel_ele,Celeus,New_World,Neotropic,7672482.26,DA5,3,20,5,19,4,10,29,130.5,-0.045019051,-0.291827172,0.448255583,0.048148941,-0.51001434,-0.493358421,0.226348982,0.485841691,-0.186179598,-0.333976424,-0.348519411,-0.812902127,0.310288282,1.256370586,0.21264181,0.354439546,-0.036664609,-0.530415004,-0.300109668,0.257468367,-0.252345907,-1.14E-16,-0.957795055,-0.254914907,-0.086709352,1.128477531,0.076371907,-1.028058962,-3.642071238,-1.55708175,-0.411640933,0.277365598,0.130593414,-0.970709901,1.187050892,0.118367082,0.082430203
Celeus_torquatus,Cel_tor,Celeus,New_World,Neotropic,4822165.5,DA4,4,20,5,20,5,1,27,120.5,0.087517036,-0.119163227,-0.411695312,-0.121297178,0.230265975,-0.215830974,0.544546228,0.107106327,-0.144051899,-0.288007639,-0.248210865,-0.637891839,-0.014483917,0.051791192,0.261987033,-0.441128459,-0.73416618,0.042533338,0.131556822,0.264365822,-0.252345907,-1.14E-16,0.003105393,-0.426642058,0.121309192,-0.211178019,-0.311143554,-1.006387379,-1.338072428,-0.118208991,0.687051194,-1.106218381,0.121289188,-0.738133889,1.258894578,0.016311236,0.023169148
Chrysophlegma_mentale,Chrysop_men,Chrysophlegma,Old_world,Indomalaya,1307124.43,DA2,4,8,0,7,4,4,27.5,100.5,0.308410515,0.12889515,-0.133242518,-0.023924531,-0.005151063,-0.311333094,0.468024723,0.87514705,-0.156451186,-0.319445383,-0.346014042,-0.664779715,-0.467748849,-0.968063571,-0.51749479,-0.31560343,-2.110656491,-0.213832115,0.00725141,0.288880313,-0.252345907,-1.14E-16,-0.337744534,-1.060774866,0.347367058,-0.793495054,-0.170819167,-0.885740761,-3.596993739,-0.609986831,0.906896861,-0.817824628,0.437950685,0.797559634,1.268180866,0.000721665,0.012548892
Colaptes_auratus,Col_aura,Colaptes,New_World,Nearctic,15371735.43,DA6,3,21,0,20,2,6,32.5,127.5,0.838554865,-0.003090519,0.912314998,0.081588469,-0.557414248,-0.607788144,0.40682235,0.707108846,-0.210410495,-0.365020497,-0.350808043,-0.580062426,-0.186493253,0.755841692,-0.360692318,0.157808292,-0.271957327,-0.565904791,0.211471137,0.278993755,-0.252345907,-1.14E-16,-0.300880291,-1.323187465,0.398257466,1.219689455,0.195336813,-0.783825686,-3.832111823,-2.558411205,1.374543342,-0.295964706,0.42706629,-0.504886542,1.205444362,0.071931229,0.061257838
Colaptes_rubiginosus,Col_rub,Colaptes,New_World,Neotropic,3652573.44,DA4,3,30,1,25,6,15,21,69.5,1.059448344,0.391019419,0.530685103,-0.119641349,-0.394798553,-0.499253349,0.190426681,0.441452833,-0.207579573,-0.336616142,-0.290619516,-0.038584067,-0.020650695,-0.385272976,-0.272494484,0.328830832,-0.468140681,-0.74294404,0.126072579,0.29074058,-0.252345907,-1.14E-16,-0.366652945,-0.641882378,1.23010798,0.999793495,0.027119852,-0.677488433,-2.944764355,-1.19034675,3.091105576,0.385917048,0.090941087,-1.236449521,1.318613295,6.43E-07,0.006089208
Dendrocopos_major,Dend_maj,Dendrocopos,Old_world,Palearctic,24083687.42,DA7,1,15,3,11,2,4,22,82,-0.751878184,-0.72282894,0.46319463,0.164285678,-0.725082062,-0.434158909,0.561890408,-0.38725739,-0.028028928,-0.273272685,0.087350064,0.017214433,-0.589282568,0.2082037,-1.096640286,-0.61296313,0.173798546,0.827276958,-0.446526091,-0.17228783,-0.252345907,-1.14E-16,-0.109268101,-1.375947675,-1.468232476,-0.30685893,-0.209972134,0.222682492,-2.372170963,-1.77128295,-1.957876176,-1.235039398,-0.449687384,1.720935514,2.251033772,0.875810651,0.245922992
