,Cam_gua,Cam_mel,Cam_rub,Cel_cas,Cel_ele,Cel_tor,Chrysop_men,Col_aura,Col_rub,Dend_maj,Dendroc_med,Din_raf,Dry_jav,Dry_lin,Dry_mar,Dry_pil,Dryob_min,Dryob_pub,Leuco_fum,Leuco_vil,Mei_tri,Mei_tuk,Mel_aur,Mel_car,Mel_ery,Mel_puc,Mic_bra,Picum_exi,Picus_can,Picus_vir,Sas_abn,Sph_var,Ven_cas
Cam_gua,NA,6.067338264,1.555471289,5.038156783,4.520814631,5.226515696,6.592263492,5.718491863,5.913214939,6.21380904,4.08892917,5.901522774,5.686324875,7.419920618,7.087609955,6.527764752,4.563480526,4.506073735,5.759037783,5.855630673,6.789295144,5.984616204,4.544042364,3.938352683,6.033521872,4.799679429,6.329950476,9.327980926,5.272136652,6.205132573,5.621746417,12.99059201,6.607854608
Cam_mel,NA,NA,5.147101564,4.392041326,4.537754805,4.098670223,5.27028076,5.017235096,5.226327296,3.251327767,3.915071038,4.129154483,3.894875181,4.270997405,4.824716947,3.914842852,5.149777926,5.035735511,5.826377419,5.877294908,5.683861701,5.218315312,4.252442269,4.397491052,4.54845097,4.968388165,5.681665576,7.578248593,4.974272797,5.418116162,4.837584817,10.33887269,5.616384183
Cam_rub,NA,NA,NA,3.921171986,3.474330602,4.343831543,5.813212941,4.739812082,5.097993585,4.924540821,3.080055245,4.979938396,5.033452704,6.323704626,6.207551841,5.690397075,3.75023121,3.97889487,4.716608388,4.987640201,6.056564879,5.083102601,3.718517545,3.200266176,5.002727799,3.899655835,5.84778352,8.911377566,4.395183356,5.320900684,5.525639752,12.38190355,5.481076294
Cel_cas,NA,NA,NA,NA,1.456314437,1.990463875,3.193997021,1.875386204,2.234202939,2.483985775,1.966961027,2.492743694,3.719046913,3.535690149,3.621366389,3.762462271,2.249541525,3.315033489,2.01270934,2.646599231,3.919034751,2.410896973,2.385659327,1.980480239,2.76510597,1.573129775,4.693249995,6.940202833,2.171410865,2.621302432,5.332047748,10.63126876,2.396286028
Cel_ele,NA,NA,NA,NA,NA,2.218766442,3.492694164,1.554567331,2.407413062,3.030390034,2.114959589,3.248523059,3.348321905,3.685912097,3.501940205,3.569455617,2.427679606,3.487566166,2.6256732,3.240493435,4.109591604,2.513562258,2.548786983,2.089814768,2.785824642,1.61350928,4.546724033,7.276898961,1.427038128,3.013500514,5.59250864,10.98571669,2.940033958
Cel_tor,NA,NA,NA,NA,NA,NA,2.171281097,2.326178468,2.219605884,2.805673921,1.861153375,1.808877242,2.454947931,2.835283114,2.419612908,2.586567335,2.679441171,3.002656905,3.388481694,3.483428993,3.109023919,2.342015928,1.541637264,2.112378396,2.82235087,1.736165319,3.878386683,6.403158971,2.267333281,2.388416109,4.549768584,10.55177072,3.590822695
Chrysop_men,NA,NA,NA,NA,NA,NA,NA,2.947215841,2.437194991,3.686686053,3.238766591,2.371770145,3.667860549,3.379378105,2.596521257,3.432731225,3.533367587,3.765336576,3.893388337,3.831236796,3.322669692,2.842165689,2.9321816,3.396387477,3.337919657,2.596152209,4.348134303,6.753686118,3.063083616,2.914979104,5.543298641,11.13597859,3.992005726
Col_aura,NA,NA,NA,NA,NA,NA,NA,NA,1.512430911,3.082291088,2.725326286,2.986554267,3.462163311,3.127509724,2.776351679,3.269169263,2.542263456,3.779280371,2.274830924,2.965114134,3.772828205,2.00741664,2.875519902,2.652533415,2.701419902,1.785147596,4.772814825,7.132928445,0.906923245,2.383962903,5.987007381,10.89462404,2.181271261
Col_rub,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37471786,2.676557049,2.334907388,3.408683646,3.306232462,2.876045334,3.257218139,2.019362695,3.167399573,2.353790803,2.424057901,3.074074821,1.728273416,2.623966574,2.299001922,3.021936434,1.79958464,4.200926528,6.351671494,1.575149585,1.982085268,5.301694805,10.81279953,2.476244776
Dend_maj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.884494715,2.798487122,3.652504798,2.567243769,3.481250057,3.149935922,3.588129396,4.156803653,3.587032003,3.943371644,4.540046093,3.537533311,3.325710994,3.348037722,2.662775204,3.305902475,5.372556169,7.204037882,3.381820087,3.730500651,5.705388579,10.41562686,3.095429012
