File,Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,BodySize,BodyMass,n.pulses,drum_duration,pulseRateMedian,pulseRateDeviation,interval_min,interval_max,interv1_intervMax,intervL_intervMax,interval_slope_lm2_ordre_coefa,interval_nPVI,MeanAcc,drum_peak_F,Amp_pulses_min,Amp_pulses_first,Amp_pulses_last,Amp_pulses_Q25,Amp_pulses_Q75,Amp_pulses_IQR,nPAVI,Amp_slope_lm2_ordre_coefa,n_seq,interval_seq_median,PC1,PC2,PC3,PC4,PC5,PC6,LD1,LD2,LD3,LD4,LD5,LD6,LI
Campephilus_guatemalensis_186741.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.254698864,-0.720321505,0.088357105,1.294498142,-0.375179536,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-1.168578773,1.121096891,1.257846277,0.323160372,-0.028386696,1.230135297,0.95067516,-0.85293236,5.06E-18,-0.252345907,-1.14E-16,-2.583295589,1.091823295,-1.766071167,-0.503927814,0.12643838,-0.817241786,-4.160847992,2.457672127,-6.184222091,0.335376879,0.471502144,-1.014993594,3.633641192
Campephilus_guatemalensis_199527.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.250054066,-0.908703749,0.088357105,1.611270039,-0.324020669,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.301503721,2.591504986,1.257846277,1.543758741,1.912689906,1.230135297,-1.503202249,-0.962719867,5.06E-18,-0.252345907,-1.14E-16,-4.095118692,3.092430872,-0.111977751,0.907871709,0.179918679,-0.316877082,-4.750321698,3.98272947,-5.419796451,4.204533951,0.370713718,-3.613249524,3.633641192
Campephilus_guatemalensis_214467.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.251980734,-0.833346187,0.088357105,1.47987269,-0.345241426,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-1.0766082,1.482001156,1.257846277,0.622750097,0.448040785,1.230135297,0.348383302,-0.883781964,5.06E-18,-0.252345907,-1.14E-16,-2.980206433,1.645171752,-1.366650595,-0.235852309,0.149396559,-0.791098725,-4.282275604,3.027050635,-6.101546603,1.192971606,0.506250298,-1.721044998,3.633641192
Campephilus_guatemalensis_28464.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.250596517,-0.887864955,0.088357105,1.574275297,-0.329995344,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.839696822,2.714941606,1.257214622,1.646224538,2.075637822,1.228359682,-1.710518777,-0.9703319,5.06E-18,-0.252345907,-1.14E-16,-4.267217075,3.239542821,-0.085023113,1.082780262,0.148694964,-0.688713579,-4.980199,3.958530991,-5.641418744,4.137295197,0.45863927,-4.163270056,3.633641192
Campephilus_guatemalensis_5092.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.254631804,-0.723210352,0.088357105,1.299071547,-0.374440928,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-1.154700023,1.035884887,1.257846277,0.252425156,-0.140874534,1.230135297,1.092880452,-0.845198147,5.06E-18,-0.252345907,-1.14E-16,-2.492504214,0.98690939,-1.847852605,-0.603490192,0.129615887,-0.804842849,-4.098000922,2.414727673,-6.204007005,0.150171423,0.472941349,-0.829874066,3.633641192
Campephilus_guatemalensis_56536.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.252315014,-0.819882355,0.088357105,1.45707499,-0.34892327,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.56463551,2.031867729,1.257846277,1.079199055,1.173916236,1.230135297,-0.569256614,-0.925569934,5.06E-18,-0.252345907,-1.14E-16,-3.511184045,2.312298764,-0.734759456,0.392044965,0.157648291,-0.45731739,-4.529849521,3.349765578,-5.666547186,2.779681263,0.385314933,-2.587223523,3.633641192
Campephilus_guatemalensis_6780.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.246007079,-1.055500676,0.088357105,1.887271685,-0.279446225,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.33386133,2.553998336,1.257846277,1.512624149,1.86317761,1.230135297,-1.440609612,-0.960378961,5.06E-18,-0.252345907,-1.14E-16,-4.093275728,3.190669141,-0.118412104,0.673245068,0.214791007,-0.369489819,-4.600921187,4.445068553,-5.546274551,4.067643458,0.464063534,-3.560194313,3.633641192
Campephilus_guatemalensis_6781.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.255003131,-0.707147731,0.088357105,1.27374736,-0.3785308,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.395862977,2.275830791,1.257846277,1.281714884,1.495970359,1.230135297,-0.976392189,-0.942369422,5.06E-18,-0.252345907,-1.14E-16,-3.729038704,2.514126704,-0.487293465,0.800199327,0.133867401,-0.328047409,-4.742568525,3.166875857,-5.43575401,3.466798381,0.284049869,-2.999657902,3.633641192
Campephilus_guatemalensis_72516.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.252088642,-0.829012868,0.088357105,1.472513426,-0.346429952,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.647493228,2.480490648,1.257846277,1.451604787,1.766140567,1.230135297,-1.317936964,-0.955732301,5.06E-18,-0.252345907,-1.14E-16,-3.991586987,2.886200725,-0.300096971,0.888233574,0.147720239,-0.5344185,-4.832747432,3.644147296,-5.578763179,3.742510996,0.394633064,-3.567331786,3.633641192
Campephilus_guatemalensis_73248.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.25037033,-0.896589428,0.088357105,1.589701068,-0.327504072,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.487302927,2.617179965,1.147940144,1.679354085,1.946583287,1.230135297,-1.546049709,-0.96431081,5.06E-18,-0.252345907,-1.14E-16,-4.147876568,3.137290523,-0.054702339,0.949996471,0.17255616,-0.367717576,-4.843800784,4.024590184,-5.388637992,4.255508858,0.38472341,-3.742655591,3.633641192
