"","Cam_gay","Cam_gua","Cam_hae","Cam_leu","Cam_mag","Cam_mel","Cam_pol","Cam_rob","Cam_rub","Cel_cas","Cel_ele","Cel_flave","Cel_flavu","Cel_gra","Cel_lug","Cel_spe","Cel_tor","Chrysoc_luc","Chrysop_men","Col_aura","Col_auru","Col_mel","Col_pun","Col_rub","Dend_hyp","Dend_leu","Dend_maj","Dend_nog","Dend_syr","Dendroc_med","Dendrop_fus","Dendrop_nam","Dendrop_pyr","Dendrop_xan","Din_raf","Dry_jav","Dry_lin","Dry_mar","Dry_pil","Dry_sch","Dryob_min","Dryob_nut","Dryob_pub","Dryob_sca","Gec_gra","Leuco_albo","Leuco_ari","Leuco_bor","Leuco_fum","Leuco_vil","Mei_tri","Mei_tuk","Mel_aur","Mel_cac","Mel_car","Mel_ery","Mel_fla","Mel_for","Mel_hof","Mel_lew","Mel_puc","Mel_pyg","Mel_rad","Mel_sup","Mel_uro","Mic_bra","Pico_arc","Pico_dor","Pico_tri","Picum_aur","Picum_cir","Picum_exi","Picum_inn","Picum_neb","Picum_ruf","Picum_tem","Picus_awo","Picus_can","Picus_vai","Picus_vir","Sas_abn","Sas_och","Sph_nuc","Sph_rub","Sph_thy","Sph_var","Ven_aff","Ven_cal","Ven_cas","Ven_nig","Ven_pas","Ven_spi"
"Cam_gay","NA","4.61865077207616","3.68544916644974","3.37574915151365","3.50683712044487","2.25411775787697","3.9078521098335","4.42013642498438","3.61258049412879","3.09744123308452","3.11653819267777","6.74713854837348","3.85202630265612","4.20928729625801","4.56484388672003","5.9692978028259","3.44185494976695","6.78473074054078","5.0296692605788","4.02468135231185","4.02315533259119","4.0794408548086","3.71758547857649","4.36551431014601","3.52241968671441","4.38509412236139","2.97186887912892","3.13437989856067","4.87454801588046","2.83237705553718","4.13559076749592","6.05649974505399","2.77901173220488","5.19831631670721","3.83456200020793","3.57903376337321","4.28790160380807","4.75681056194255","3.93688676009404","3.3493464416809","3.98533968452514","4.26956636842541","4.3116002851695","5.18209315801157","5.82224162977148","4.08445025223716","4.14606369459788","3.74699246783848","4.61662588310523","4.85427560678697","5.37094822456331","4.45430024350835","3.52290882794824","5.24601558285285","3.07219739614705","3.957481554946","2.87725694015579","3.22095932832268","4.71919514561003","5.19517553474551","3.84992456207054","3.76265666704334","5.2648511482611","2.61095486203001","4.11085456990792","5.30031348888306","4.76684412650053","3.70493258703924","3.51504100036081","6.96641199681729","7.46805883128","7.47228799853902","7.46956270062551","12.904349467294","6.96866502744075","8.63776242485257","3.92715863658774","3.92586469197486","4.46092089330088","4.75699075215357","4.77209165771773","5.63124940475101","10.8450087955082","7.65170274078088","7.65739323889489","10.5418638818835","5.67102092788871","4.97683833191528","4.61649654913077","4.43800399495863","4.96880463360451","4.48641746768272"
"Cam_gua","NA","NA","1.27279495435145","2.02088365290562","1.86812751643176","6.06733826406863","1.76257454645322","1.31500499794143","1.5554712891423","5.03815678268456","4.52081463107081","8.61676267049942","6.14777330985933","5.5140478137877","6.15784687444631","7.69916810911249","5.22651569583293","9.49297388898695","6.59226349202287","5.71849186283992","5.37379385763273","5.62477712251116","4.47043152022089","5.91321493934605","7.32407798072809","7.5250948020764","6.2138090401818","4.90016727335963","8.30523058731649","4.08892917030098","6.44461408789145","5.89243628582679","6.85902958363904","8.28028673447418","5.90152277435884","5.68632487496339","7.41992061826042","7.08760995504068","6.52776475197174","5.68642420971402","4.56348052598895","5.37045161989003","4.50607373508735","6.86379821198674","7.78798733654218","5.83677478752681","5.51953854019476","5.1286050555763","5.75903778273472","5.855630672693","6.78929514360217","5.98461620355264","4.54404236422915","6.2162964429952","3.93835268310669","6.03352187160746","4.88385062774519","3.52945933709972","5.32484742624677","7.02871253613008","4.7996794288431","4.87231935014263","5.49374837198285","3.63475271689591","4.46543902782409","6.32995047551918","6.81757286662347","6.30488356529603","5.64450354108213","8.22678738218961","9.34848487345479","9.32798092569094","7.55544542508073","14.5482425342199","8.61514955630392","10.1587378221264","4.70752875470367","5.2721366521341","5.47950461967782","6.20513257281048","5.62174641727821","7.31929914697311","13.2064205389917","10.3047010183831","10.3788943759926","12.9905920064269","7.40767248900171","7.12081047811729","6.60785460791118","6.45237385001161","7.07091812179224","6.54566058411196"
"Cam_hae","NA","NA","NA","0.909495541131892","0.753352228737186","5.11012884361547","1.36389686895875","1.54904476393334","0.582193379948635","4.14245882196607","3.63315595259059","7.87400158332229","5.2378883291734","4.78807534638714","5.31258148655131","6.97105449337388","4.36733596005346","8.59904773019418","5.82571138479139","4.86481327591647","4.57782653968585","4.83335075514052","3.72295230717637","5.18611586844621","6.20893055481902","6.52591707121533","5.07742778011649","4.06090255965341","7.16786137751955","3.1566320479416","5.588089656151","5.62049614009789","5.83481022553038","7.26629248271832","5.04516809604122","4.90698454849993","6.38571503980179","6.19123963943878","5.60889401176617","4.83843679451561","3.88289814932241","4.59442307599654","3.92183478819311","6.03728965423153","7.00494213526113","5.0104623083264","4.63955878070996","4.24276601503972","5.00163773470563","5.18208208594556","6.09748653649484","5.19547712855147","3.71744437975067","5.73537256281034","3.24873429736682","5.08649865638391","3.89978489477302","2.83055504697455","4.81317258532235","6.34493005907705","4.03856897981696","4.07590628336992","5.13214438521002","2.7939240937347","3.87199526713003","5.80017134823243","6.06191685666638","5.41926477105603","4.79265731577986","7.88201018396335","8.84500809570042","8.87993178978147","7.30159807240975","14.1873693413757","8.21564506401748","9.84601478680935","4.02221245923108","4.47758871476506","4.8252244928012","5.43264506738028","5.30997163620248","6.7377834990574","12.6704946665285","9.62714998481217","9.72882728382715","12.4312823993824","6.62784337080319","6.2583215604063","5.72625753706062","5.57847965139642","6.17645506379019","5.6805139673926"
"Cam_leu","NA","NA","NA","NA","0.848090918416015","4.88922714774077","1.8268954575133","1.77009408263279","0.490423098480357","3.66741867087914","3.24822680440548","7.57291893721951","4.7996833738973","4.4375723400722","4.93798589305894","6.55582733753568","4.12920624133515","8.22244523178692","5.62523658469257","4.51882325296368","4.20161696119628","4.53663781042742","3.46635072441643","4.94593021927018","5.68157837936511","6.12725008917397","4.56863184772554","3.91482144063791","6.59008277398086","2.88042281925756","5.06105232269173","5.90636442834415","5.41798388901651","6.85214810029738","4.76951036167443","4.86326221387428","6.00521075869679","5.96225410665193","5.4527550523721","4.55343273433763","3.65754633360342","4.30036790309865","3.94064681092802","5.57688663499004","6.65973352059212","4.74142865130382","4.09484587731476","3.84139968352659","4.52423926466784","4.84736206529407","5.87865595539367","4.87194257626464","3.53686989543319","5.69503038183905","3.11517330302067","4.78909686342815","3.44468234006128","2.84726184007976","4.89824420460649","6.11915422213184","3.74224786850422","3.86443892623097","5.15488863625404","2.68846917189147","3.78461766689679","5.75109850452199","5.89436288571382","5.26884422605383","4.66814528347957","7.90497690388863","8.77768982775934","8.83810709991597","7.5760163931292","14.117498199974","8.16612607268261","9.85777136222285","3.69304707343149","4.22065628664911","4.55122565428912","5.10974002722354","5.57122720588483","6.60265922407944","12.4419950909589","9.31892962343672","9.47022341812317","12.2240474203889","6.16987136664734","5.80294920178287","5.24149988085923","5.12853333206826","5.63297152557843","5.13675883178867"
"Cam_mag","NA","NA","NA","NA","NA","4.78045818172827","1.57465050810597","2.17920900610044","0.888440310476861","4.06509270354638","3.61101019038711","7.82646201982319","5.11478608609571","4.82868561130108","5.23315181553812","6.95513987733514","4.16093870581243","8.33871203402962","5.69400005115515","4.82315495856289","4.51040869980953","4.82725598171869","3.7167231315287","5.18129136611272","5.7132956149367","6.22157402263596","4.77885599782435","3.96247440366053","6.78325714564864","3.02075757437654","5.55872878333042","5.56114464668754","5.50972373828532","6.86611255855853","4.84568216314984","4.66917353764312","6.05910400306465","5.93905889497204","5.32493245957469","4.76875058581545","3.93723522407994","4.5510336375506","3.9359349116089","5.99932190822404","6.86382553571805","4.90549886160759","4.53338947780583","4.17102496037989","5.03464259471121","5.2402857206795","5.907131765401","5.09189979233616","3.52557679824645","5.69126489018671","3.31023784720149","4.97474487011354","3.76016504590252","2.82906255109091","4.8004283576136","6.26851297393771","4.01555607814298","3.94842503860974","5.17455097849697","2.75625462944734","3.85554349416526","5.68485557836261","5.92709950889385","5.19969239953622","4.65107138807393","7.80066362385068","8.69577025830483","8.79598930780431","7.19670562086481","14.1235360387633","8.16156367506029","9.80589920336365","4.12005271570066","4.45603919906462","4.86541517452759","5.30072139778178","5.25927018682801","6.63168667048082","12.5211854302868","9.42737084065165","9.57977393977857","12.2429201386909","6.61740655531072","6.16552950061385","5.69994339605843","5.51215012200975","6.08868130982421","5.63771087177168"
"Cam_mel","NA","NA","NA","NA","NA","NA","4.93965296709325","6.12880821692201","5.14710156373402","4.39204132558541","4.53775480534017","7.16887715049343","4.62402780728643","5.38266155113536","5.39647571328476","6.77310354709224","4.09867022287161","6.70874307888889","5.27028076045891","5.017235095977","5.06597471466469","5.08663680197749","4.89853437907641","5.22632729583699","2.81923921504797","4.39325567446649","3.25132776714232","3.87219889313366","4.67666889530868","3.91507103772879","5.32794977053572","6.26537249323658","1.8195095666835","4.71449620246849","4.12915448303884","3.89487518124696","4.27099740505508","4.82471694704889","3.91484285211791","4.33643900625838","5.14977792572029","5.08630796865183","5.03573551125382","5.98808658209465","6.19809109853318","4.64788610262422","5.21402260345254","4.66149472601973","5.82637741875759","5.87729490797543","5.68386170119222","5.2183153123152","4.25244226893533","5.66903171425918","4.3974910523077","4.54845097037873","4.13571251039628","4.29633406296475","5.14183081988392","5.62387302931623","4.96838816481369","4.64920126520377","6.08342597575203","3.91808093891047","5.03910395392759","5.68166557557186","4.99518369855763","3.68875072353599","3.86727337709489","7.29340005485222","7.42845538393445","7.57824859332559","7.48558914205513","12.9092795712395","7.31557316095898","8.8105934006393","5.26615448577546","4.97427279695915","5.57552414395834","5.4181161622716","4.83758481728036","5.83246353946518","10.8153004641829","7.74024738347076","7.77780110528948","10.3388726872834","6.55673777014686","5.74121331777468","5.6163841830673","5.30054488567437","5.87959479038112","5.57831893098795"
"Cam_pol","NA","NA","NA","NA","NA","NA","NA","2.20085652628023","1.61334466634037","4.54187940898098","4.08395222876579","8.08625177174475","5.55684560711126","5.15379108385994","5.63029961692358","7.27261196011396","4.62403459873187","8.75981980909289","6.01821642126531","5.20725219146679","4.91653410508053","5.1602057372438","4.08432424815074","5.43558630590204","6.3202748106344","6.72933578177578","5.28156854767587","4.21966065945031","7.41900551764671","3.51196704489427","5.94195381455291","5.52465944465248","5.72373188722815","7.4175707932492","5.21202589833099","5.06240222669223","6.60282937254625","6.36805889339308","5.76519272506617","5.12103769617812","4.17197707870624","4.85752551865878","4.05928712340355","6.33572777206986","7.23248581402043","5.2163196666556","4.99664507643103","4.51236020196965","5.37692328970645","5.48141489125973","6.28302589315726","5.50004518016244","3.99683750541526","5.88742178264044","3.56464693999812","5.29662865256992","4.27989470179094","3.06129710856481","4.91107499676029","6.5866996382917","4.37478374228744","4.31647472606838","5.31353783785661","3.13596296023768","4.12174033444703","5.9428420109954","6.19966874248967","5.49297041588737","4.90649588502097","7.89729481854521","8.82188978749207","8.88202564882354","7.20499437531706","14.1771276355368","8.26967472441835","9.81592287943198","4.39055918765477","4.7970904547387","5.15802839895582","5.71983703936519","5.16893242566341","6.76579198835426","12.7230337250292","9.74696336509693","9.84362862029706","12.4745119878849","6.93945138945731","6.54955462619193","6.05154324043104","5.88339289370419","6.53476108058567","6.07083240457085"
"Cam_rob","NA","NA","NA","NA","NA","NA","NA","NA","1.37618529213247","4.50257023913664","4.04601172616673","8.21442621969041","5.68538872903957","4.9625832296153","5.72298407728013","7.10055868667983","5.14043570582671","9.25483517916097","6.4557409537119","5.28193722547342","4.93801540360037","5.20707755493835","4.13450531962492","5.56584748930411","7.17990504273509","7.32000379160261","5.87678868720515","4.80435779401688","7.9548214817234","3.89587876891416","5.73090099263677","6.39560233901156","6.66107238131016","8.16606631801899","5.75079905430275","5.88688827101568","7.26446993156765","7.05073472472389","6.62216464275215","5.36581854245613","4.18232679531626","5.0103839672013","4.51152050082036","6.24332049654638","7.45357194042787","5.57962216828293","4.9141402283882","4.67222327947616","5.03707446354481","5.28979385205501","6.70509180809381","5.65345462501565","4.52306737903279","6.20881591381829","3.68908077849623","5.73883590755007","4.45933654770616","3.55582291325133","5.45633491806129","6.78678539558971","4.42336266707429","4.73268705516449","5.47745644806221","3.54584802350914","4.36660883250176","6.39843604080235","6.72715018298815","6.33114065190017","5.61878449602662","8.36762527007269","9.42839297831077","9.36368903541356","8.10551325561852","14.5136868918298","8.60674598412654","10.2239546511097","4.1214652056267","4.93553526756441","5.03287863100396","5.90932315509661","6.07352876041194","7.24320224016081","13.0429420166356","10.0918174392278","10.1709411619954","12.9099295920693","6.74385594169717","6.57826854084048","5.94447450792727","5.8936547785336","6.40448525102645","5.8280181461088"
"Cam_rub","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.92117198586394","3.47433060234826","7.77239095398436","5.06423025395276","4.61542402217712","5.16191641324895","6.76633900485395","4.34383154321802","8.49546614288056","5.81321294137289","4.7398120818154","4.40491581866082","4.72169457646503","3.61562950076605","5.09799358539181","6.06999814423232","6.42999157893601","4.92454082110705","4.05881824243915","6.98281887223945","3.08005524474412","5.30587085779887","5.86095083605749","5.74024042501408","7.18189666546789","4.97993839567743","5.03345270448556","6.32370462628346","6.20755184068138","5.69039707484425","4.75824128763639","3.75023120989794","4.46941701093728","3.97889486995432","5.80167532187263","6.88479405252385","4.93122283495308","4.34524332685793","4.04461591649108","4.71660838829015","4.9876402012876","6.05656487885199","5.08310260105328","3.71851754525182","5.74643037319448","3.20026617630683","5.00272779909304","3.71381409546714","2.87692764081897","4.93613528191612","6.28880275956359","3.89965583497566","4.01486283078288","5.16392456514785","2.80595939256057","3.847017714501","5.84778352010106","6.06568864926379","5.46857904179697","4.84346021265938","7.9422280491763","8.86770305418081","8.91137756622344","7.54866238459637","14.1890728620264","8.23026734813436","9.88269659209492","3.8175512359781","4.39518335553562","4.69134899021133","5.32090068445199","5.52563975181255","6.68912693702959","12.5916400065701","9.51759643229891","9.65151958067486","12.3819035457125","6.38887503256107","6.04918955428963","5.48107629403747","5.37006012353137","5.91029972295085","5.4047189442856"
"Cel_cas","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.45631443653258","4.78124039197291","1.56462472676101","1.59607825251716","2.31434210846646","3.41698766193983","1.99046387529336","5.23212756764904","3.19399702118616","1.8753862037236","1.33280562351084","2.35425637695417","1.72810930122426","2.23420293873689","4.34393232032305","3.49136995099088","2.48398577540405","2.36488690978031","4.09000526448913","1.96696102697225","1.97133249220986","5.83944312929043","4.09673752577674","4.41072197906059","2.49274369369758","3.71904691331748","3.53569014918879","3.6213663892204","3.76246227136565","2.189946889341","2.24954152501492","2.35926340017817","3.31503348943074","2.67809358275986","3.81944110647801","2.58514430063794","1.77796165031864","1.80531174027465","2.01270934008367","2.64659923101782","3.91903475113758","2.41089697346493","2.38565932665076","4.74144223152545","1.98048023885846","2.76510596987304","1.14382976156622","2.69619111824968","3.75112563530269","3.66240344119546","1.57312977502845","2.29124370992404","4.48391420142794","2.21466592600378","2.89628814557662","4.69324999549212","3.59330801863736","3.82839728799311","3.30638300486822","6.8846166891272","6.85855641780855","6.9402028334077","6.96247467694464","12.2551371681932","6.53265853321871","8.36554698809503","1.67394925689494","2.17141086535189","2.26816274202441","2.62130243194272","5.33204774812701","5.21816590327793","10.7433806381798","7.60522976059995","7.41507130073199","10.6312687571149","3.01025834578113","2.60809941317446","2.39628602805125","1.87418817484597","2.48365636850462","1.97972734947917"
