File,Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,BodySize,BodyMass,n.pulses,drum_duration,pulseRateMedian,pulseRateDeviation,interval_min,interval_max,interv1_intervMax,intervL_intervMax,interval_slope_lm2_ordre_coefa,interval_nPVI,MeanAcc,drum_peak_F,Amp_pulses_min,Amp_pulses_first,Amp_pulses_last,Amp_pulses_Q25,Amp_pulses_Q75,Amp_pulses_IQR,nPAVI,Amp_slope_lm2_ordre_coefa,n_seq,interval_seq_median
Campephilus_gayaquilensis_63190.wav,Campephilus_gayaquilensis,Cam_gay,Campephilus,New_World,Neotropic,196903.12,DA1,1,5,1,5,3,1,33,241.5,-1.282022534,-0.916768591,-0.941139281,-0.189371991,0.866619515,-0.041312956,0.561890408,-0.498712672,2.047671539,0.015636254,0.199795984,-0.766001167,1.220146076,1.257846277,0.405381949,0.69607592,0.94919928,-0.174096525,-0.847684353,-0.066127783,-0.252345907,-1.14E-16
Campephilus_gayaquilensis_XC128456.wav,Campephilus_gayaquilensis,Cam_gay,Campephilus,New_World,Neotropic,196903.12,DA1,1,5,1,5,3,1,33,241.5,-0.751878184,-0.569213532,-0.420797564,0.54863711,-0.467942036,-0.051609495,0.561890408,-1.009803966,0.487109177,-0.027107923,0.130577317,-1.000390933,1.623193253,1.215347571,0.739954868,1.973993583,1.180389886,-1.617694487,-0.854298562,0.159147844,-0.252345907,-1.14E-16
Campephilus_gayaquilensis_XC258075.wav,Campephilus_gayaquilensis,Cam_gay,Campephilus,New_World,Neotropic,196903.12,DA1,1,5,1,5,3,1,33,241.5,-1.193665143,-0.925514321,-0.184234591,0.598393547,-0.897163599,-0.059403878,0.561890408,-1.444869554,1.713860313,0.35904052,1.378968747,-0.639528151,-0.370945222,1.07828065,-0.915396583,-0.27313118,0.018074114,0.358728788,-0.641728596,-0.40432626,-0.252345907,-1.14E-16
Campephilus_gayaquilensis_XC297100.wav,Campephilus_gayaquilensis,Cam_gay,Campephilus,New_World,Neotropic,196903.12,DA1,1,5,1,5,3,1,33,241.5,-0.928592968,-0.636354995,-0.536118282,-0.422828612,0.022399797,0.071755566,0.561890408,-1.12306175,0.919103338,0.058377623,0.216226151,-0.561157511,-0.492395571,1.041078366,-1.016213559,-0.986846834,0.972206944,1.970536627,-0.553944173,-0.320096386,-0.252345907,-1.14E-16
Campephilus_guatemalensis_186741.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.254698864,-0.720321505,0.088357105,1.294498142,-0.375179536,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-1.168578773,1.121096891,1.257846277,0.323160372,-0.028386696,1.230135297,0.95067516,-0.85293236,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_199527.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.250054066,-0.908703749,0.088357105,1.611270039,-0.324020669,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.301503721,2.591504986,1.257846277,1.543758741,1.912689906,1.230135297,-1.503202249,-0.962719867,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_214467.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.251980734,-0.833346187,0.088357105,1.47987269,-0.345241426,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-1.0766082,1.482001156,1.257846277,0.622750097,0.448040785,1.230135297,0.348383302,-0.883781964,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_28464.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.250596517,-0.887864955,0.088357105,1.574275297,-0.329995344,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.839696822,2.714941606,1.257214622,1.646224538,2.075637822,1.228359682,-1.710518777,-0.9703319,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_5092.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.254631804,-0.723210352,0.088357105,1.299071547,-0.374440928,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-1.154700023,1.035884887,1.257846277,0.252425156,-0.140874534,1.230135297,1.092880452,-0.845198147,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_56536.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.252315014,-0.819882355,0.088357105,1.45707499,-0.34892327,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.56463551,2.031867729,1.257846277,1.079199055,1.173916236,1.230135297,-0.569256614,-0.925569934,5.06E-18,-0.252345907,-1.14E-16
