Strategy,Mean_LI
Strat1,0.500482936
Strat1,0.614706133
Strat1,0.594562206
Strat1,0.559758513
Strat1,0.514147424
Strat1,0.614887981
Strat1,0.625237264
Strat1,0.501518499
Strat1,0.5416853
Strat1,0.590853857
Strat1,0.509452462
Strat1,0.565491161
Strat1,0.573757538
Strat1,0.600088397
Strat1,0.661284179
Strat1,0.626761707
Strat1,0.48581282
Strat1,0.652270572
Strat1,0.600746856
Strat1,0.596206147
Strat1,0.515856209
Strat1,0.589140623
Strat1,0.514666546
Strat1,0.504922876
Strat1,0.582101559
Strat1,0.623535489
Strat1,0.677650168
Strat1,0.627498258
Strat1,0.564525998
Strat1,0.622913744
Strat1,0.546645169
Strat1,0.503046391
Strat1,0.550827994
Strat1,0.537778126
Strat1,0.571186887
Strat1,0.491890846
Strat1,0.738115118
Strat1,0.465919494
Strat1,0.545302487
Strat1,0.603598523
Strat1,0.499552788
Strat1,0.512602204
Strat1,0.575002776
Strat1,0.531433869
Strat1,0.545302191
Strat1,0.591985095
Strat1,0.543597078
Strat1,0.561983708
Strat1,0.593798083
Strat1,0.577213042
Strat1,0.579507722
Strat1,0.680952953
Strat1,0.510820046
Strat1,0.555902924
Strat1,0.504216772
Strat1,0.532506018
Strat1,0.496634386
Strat1,0.577364095
Strat1,0.554878815
Strat1,0.607049492
Strat1,0.530850527
Strat1,0.577837811
Strat1,0.581346214
Strat1,0.569204162
Strat1,0.5308662
Strat1,0.528472226
Strat1,0.504492632
Strat1,0.647060208
Strat1,0.556120559
Strat1,0.530406098
Strat1,0.504861784
Strat1,0.611252955
Strat1,0.549131005
Strat1,0.556486015
Strat1,0.56997931
Strat1,0.488759425
Strat1,0.629359241
Strat1,0.552468551
Strat1,0.533870918
Strat1,0.52921727
Strat1,0.58702274
Strat1,0.548923982
Strat1,0.621470741
Strat1,0.473484663
Strat1,0.599967533
Strat1,0.553601882
Strat1,0.578237327
Strat1,0.545220521
Strat1,0.631435089
Strat1,0.572703803
Strat1,0.532952973
Strat1,0.57132931
Strat1,0.54836749
Strat1,0.54219403
Strat1,0.554328966
Strat1,0.54884231
Strat1,0.687599981
Strat1,0.543466395
Strat1,0.549894999
Strat1,0.562850479
Strat2,0.44324251
Strat2,0.439343553
Strat2,0.454556302
Strat2,0.457922479
Strat2,0.454574081
Strat2,0.469697857
Strat2,0.50752719
Strat2,0.468813122
Strat2,0.445473181
Strat2,0.483056968
Strat2,0.503179976
Strat2,0.491095676
Strat2,0.519565732
Strat2,0.513586167
Strat2,0.517336874
Strat2,0.487262698
Strat2,0.43653019
Strat2,0.485087802
Strat2,0.49383675
Strat2,0.490189052
Strat2,0.474478215
Strat2,0.493748312
Strat2,0.499454461
Strat2,0.480115353
Strat2,0.49231811
Strat2,0.508505599
Strat2,0.502682378
Strat2,0.486858019
Strat2,0.495698028
Strat2,0.461027966
Strat2,0.447688163
Strat2,0.464612099
Strat2,0.477215029
Strat2,0.491193345
Strat2,0.475007309
Strat2,0.48264413
Strat2,0.480505085
Strat2,0.498070846
Strat2,0.474631938
Strat2,0.480211741
Strat2,0.47214709
Strat2,0.478604774
Strat2,0.443272327
Strat2,0.488391761
Strat2,0.436811351
Strat2,0.46818036
Strat2,0.495850555
Strat2,0.450453418
Strat2,0.507855558
Strat2,0.489528136
Strat2,0.495350334
Strat2,0.460648582
Strat2,0.475770913
Strat2,0.485949862
Strat2,0.498880018
Strat2,0.425036117
Strat2,0.423140369
Strat2,0.50223112
Strat2,0.507969132
Strat2,0.464485006
Strat2,0.475445428
Strat2,0.493787764
Strat2,0.458792066
Strat2,0.477664619
Strat2,0.496183833
Strat2,0.485754068
Strat2,0.448744199
Strat2,0.512829341
Strat2,0.537466337
Strat2,0.490178617
Strat2,0.443391541
Strat2,0.498027973
Strat2,0.496086128
Strat2,0.477184802
Strat2,0.488093451
Strat2,0.499230605
Strat2,0.50351091
Strat2,0.446052176
Strat2,0.435475076
Strat2,0.446632222
Strat2,0.461729748
Strat2,0.492386846
Strat2,0.481352129
Strat2,0.511305213
Strat2,0.475700587
Strat2,0.465163243
Strat2,0.532271385
Strat2,0.480314309
Strat2,0.479441718
Strat2,0.454244122
Strat2,0.534044096
Strat2,0.502272129
Strat2,0.486127234
Strat2,0.479067862
Strat2,0.508501579
Strat2,0.496630563
Strat2,0.495046986
Strat2,0.513317464
Strat2,0.477879005
Strat2,0.482494728
Strat3,0.543990657
Strat3,0.440421766
Strat3,0.465842586
Strat3,0.514259812
Strat3,0.427680574
Strat3,0.506136275
Strat3,0.445465992
Strat3,0.407421313
Strat3,0.43328311
Strat3,0.504906565
Strat3,0.416107183
Strat3,0.467327039
Strat3,0.473209655
Strat3,0.55101664
Strat3,0.531536396
Strat3,0.351798425
Strat3,0.469929786
Strat3,0.467632017
Strat3,0.39887209
Strat3,0.482255263
Strat3,0.444687241
Strat3,0.482693168
Strat3,0.425729401
Strat3,0.418643183
Strat3,0.406239732
Strat3,0.448767072
Strat3,0.533672412
Strat3,0.435596265
Strat3,0.564075034
Strat3,0.415475804
Strat3,0.520543578
Strat3,0.371977693
Strat3,0.524746721
Strat3,0.41587797
Strat3,0.550121778
Strat3,0.494817288
Strat3,0.483399069
Strat3,0.500526952
Strat3,0.504989907
Strat3,0.461753927
Strat3,0.48274656
Strat3,0.481913532
Strat3,0.444911339
Strat3,0.501140578
Strat3,0.43582197
Strat3,0.476461889
Strat3,0.382024399
Strat3,0.448971367
Strat3,0.505558129
Strat3,0.467260192
Strat3,0.427122924
Strat3,0.484412278
Strat3,0.446249675
Strat3,0.441429996
Strat3,0.49336808
Strat3,0.498409695
Strat3,0.512270858
Strat3,0.491615867
Strat3,0.411411282
Strat3,0.45280945
Strat3,0.376401999
Strat3,0.406542468
Strat3,0.411574977
Strat3,0.488221232
Strat3,0.461941587
Strat3,0.459229593
Strat3,0.484307252
Strat3,0.489091383
Strat3,0.419785945
Strat3,0.470048346
Strat3,0.41223385
Strat3,0.483781001
Strat3,0.484830818
Strat3,0.565810609
Strat3,0.430509532
Strat3,0.375861825
Strat3,0.361750954
Strat3,0.4016633
Strat3,0.473098218
Strat3,0.53400652
Strat3,0.456459615
Strat3,0.406696268
Strat3,0.484702176
Strat3,0.384852056
Strat3,0.387754655
Strat3,0.431814726
Strat3,0.545249089
Strat3,0.424353983
Strat3,0.515651839
