Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,median_Beak_Length,median_Wing_length,median_BeakLength_WingLength,median_Beak_Mass,BodySize,BodyMass,median_n.pulses,median_drum_duration,median_pulseRateMedian,median_pulseRateDeviation,median_interval_min,median_interval_max,median_interv1_intervMax,median_intervL_intervMax,median_interval_slope_lm2_ordre_coefa,median_interval_nPVI,median_MeanAcc,median_drum_peak_F,median_Amp_pulses_min,median_Amp_pulses_first,median_Amp_pulses_last,median_Amp_pulses_Q25,median_Amp_pulses_Q75,median_Amp_pulses_IQR,median_nPAVI,median_Amp_slope_lm2_ordre_coefa,median_n_seq,median_interval_seq_median,median_PC1,median_PC2,median_PC3,median_PC4,median_PC5,median_PC6,median_LD1,median_LD2,median_LD3,median_LD4,median_LD5,median_LD6,median_LI
Campephilus_gayaquilensis,Cam_gay,Campephilus,New_World,Neotropic,196903.12,DA1,1,5,1,5,3,1,49.99,176,0.284034091,9.719580476,33,241.5,-1.061129056,-0.776561793,-0.478457923,0.17963256,-0.22277112,-0.046461226,0.561890408,-1.066432858,1.316481826,0.037006939,0.208011068,-0.702764659,0.424600427,1.146814111,-0.255007317,0.21147237,0.960703112,0.092316132,-0.744706475,-0.193112085,-0.252345907,-1.14E-16,-0.910659855,1.00068381,-2.430403769,-0.252870873,-0.808781168,-0.288007002,0.289085382,0.532729951,-5.338932098,-0.722578952,-1.10158289,-0.196102679,3.072706057
Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,52.7,191,0.27025641,10.19820163,34.5,243.5,-1.635452101,-1.250596517,-0.887864955,0.088357105,1.574275297,-0.329995344,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.839696822,2.437253215,1.257846277,1.451604787,1.709063101,1.230135297,-1.245780561,-0.952962088,5.06E-18,-0.252345907,-1.14E-16,-3.991586987,2.886200725,-0.300096971,0.673245068,0.157648291,-0.631889779,-4.600921187,3.644147296,-5.666547186,3.642058152,0.464063534,-3.560194313,3.633641192
Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,48.03,174,0.254814815,7.908562151,34,237.5,-1.635452101,-1.253717742,-0.642139479,0.088357105,1.173811548,-0.386653214,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.756276217,1.823337592,1.257846277,0.9060964,1.092081837,1.230135297,-0.669476322,-0.910398372,5.06E-18,-0.252345907,-1.14E-16,-3.53630678,2.348172819,-1.032646384,0.336439107,0.025450838,-0.339289785,-4.600356732,2.767478169,-5.628970947,2.108550285,0.142979126,-2.336877064,3.289068433
Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,52.02,185,0.281189189,8.691264968,31,242,-1.635452101,-1.264731598,-0.219441709,0.088357105,0.610272793,-0.485682373,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.752070399,1.786380796,1.257846277,0.875418246,0.849850458,1.230135297,-0.159577939,-0.907626718,5.06E-18,-0.252345907,-1.14E-16,-3.169571871,1.541949057,-1.132635463,0.754926315,0.021902225,-0.454043095,-4.887531317,1.345272162,-5.550254796,2.159060655,0.121903947,-2.209268226,3.158147714
Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,59.55,214,0.275760369,12.50802157,37,319.5,-1.635452101,-1.255077222,-0.703923262,0.088357105,1.268694388,-0.379346859,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.783750486,1.707607097,1.257846277,0.810027523,0.745861787,1.230135297,-0.028117156,-0.901632217,5.06E-18,-0.252345907,-1.14E-16,-3.235526002,2.000660369,-1.125405974,0.393828594,0.120582876,-0.594086871,-4.641260309,2.847813679,-5.585147203,1.723784997,0.371367638,-2.197589808,3.490255167
Campephilus_melanoleucos,Cam_mel,Campephilus,New_World,Neotropic,11657285.98,DA6,1,30,5,29,2,1,45.59,185,0.242677596,7.892041303,35.5,232.5,-1.193665143,-0.810159423,-1.053381367,0.285661683,0.360637605,0.176659048,0.561890408,-1.024422725,1.887006652,0.200282832,0.408839527,-0.602811399,-0.548268699,0.742753587,-1.062594323,-0.354889733,0.650043958,0.887864785,-0.550252717,-1.23054086,-0.252345907,-1.14E-16,-0.460476627,0.3827532,-3.186354097,-2.030521812,-0.65210417,0.045141355,1.359273562,2.1227769,-6.020667376,-2.020108787,-0.920630749,1.829842383,3.931685716
Campephilus_pollens,Cam_pol,Campephilus,New_World,Neotropic,299509.19,DA1,2,8,3,8,2,2,52.17,173,0.301560694,8.890475397,34.5,194.3,-1.591273405,-1.212911082,-0.88911182,0.088357105,1.461422313,-0.317668952,0.561890408,0.823294561,1.25E-17,-0.438756091,-0.279755619,-0.510433983,1.788200809,1.204096762,0.876929055,1.102228069,1.154588918,-0.77166945,-0.903616991,-1.270444479,-0.252345907,-1.14E-16,-3.646264449,2.761065275,-1.301242675,-0.375914012,0.058389583,-0.175144285,-3.899099174,4.133812172,-6.389125301,2.252560277,0.121924452,-1.747627409,3.513211383
Campephilus_robustus,Cam_rob,Campephilus,New_World,Neotropic,2370339.34,DA3,2,16,1,16,3,0,53.34,190,0.278388889,9.085646904,34.5,262,-1.635452101,-1.266079158,-0.13700247,0.088357105,0.518370195,-0.500524702,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.774048489,2.48973237,1.257846277,1.492161252,1.778340507,1.230135297,-1.333359929,-0.956127205,5.06E-18,-0.252345907,-1.14E-16,-3.8432581,2.074049274,-0.478756112,1.874012589,-0.013289057,-0.450044062,-5.55431241,1.150711197,-5.215785425,3.851305108,0.021289728,-3.677480746,3.135745662
Campephilus_rubricollis,Cam_rub,Campephilus,New_World,Neotropic,5860897.45,DA5,2,21,3,21,3,2,44.54,182,0.248826816,6.121609201,32,208.5,-1.635452101,-1.262359619,-0.351610538,0.088357105,0.77204008,-0.459556852,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.668645287,1.960771283,1.257846277,1.020181285,1.080062258,1.230135297,-0.450607945,-0.920484665,5.06E-18,-0.252345907,-1.14E-16,-3.267362638,1.668578443,-1.01863451,0.796588673,0.045596629,-0.417853289,-4.778623096,1.950340953,-5.501347476,2.709502889,0.143139936,-2.210489295,3.319779082
Celeus_castaneus,Cel_cas,Celeus,New_World,Neotropic,327907.88,DA1,3,11,0,6,2,6,27.89,129,0.209699248,2.179208566,24,92.5,-0.221733835,-0.514382848,0.90806517,0.09070633,-0.697155474,-0.471027569,0.435972948,-0.003957507,-0.067714117,0.018883086,-0.145269764,-0.492981594,0.272121769,0.302463191,0.461209292,0.007528699,-0.191115348,-0.234348086,-0.158841126,0.240414857,-0.252345907,-1.14E-16,-0.624157442,-0.688922103,-0.184122407,1.21678424,-0.273164682,-0.286805927,-2.940209933,-2.11806238,-0.56510016,0.542695573,-0.505677644,-0.63861921,1.363017201
