state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.038	63.961	0.120	31	0	0.000	0.003	0.213	-7.39	-132.49	-0.03	0.00
2000	0.003	164.362	0.200	29	0	0.000	0.055	-0.082	-9.59	-124.98	-0.00	0.25
3000	0.012	126.684	0.020	28	0	0.000	0.077	-0.336	-8.77	-121.23	0.00	0.69
4000	0.003	148.126	0.061	36	0	0.000	0.052	0.006	-6.88	-151.97	0.00	-0.69
5000	0.014	168.755	0.107	38	0	0.000	0.029	-0.510	-3.28	-159.95	0.00	-3.49
6000	0.026	277.754	0.077	24	0	0.000	0.056	-0.225	-2.67	-106.63	0.00	-0.13
7000	0.005	197.833	0.128	29	0	0.000	0.073	-0.248	-6.11	-124.94	-0.00	1.13
8000	0.044	160.014	0.044	26	0	0.000	0.049	-0.181	-17.90	-113.84	0.00	0.00
9000	0.019	23.761	0.061	30	0	0.000	0.076	0.325	-8.26	-128.69	0.00	0.69
10000	0.063	75.791	0.178	33	0	0.000	0.024	1.307	-28.37	-140.19	0.00	0.69
11000	0.033	52.368	0.224	32	0	0.000	0.032	-0.734	-9.47	-136.33	0.00	0.00
12000	0.007	28.547	0.067	24	0	0.000	0.063	0.272	1.78	-106.61	-0.01	0.00
13000	0.017	53.607	0.226	28	0	0.000	0.059	0.650	-10.98	-121.19	-0.00	0.96
14000	0.003	54.433	0.090	28	0	0.000	0.076	-0.130	-0.24	-121.19	0.00	-3.83
15000	0.007	171.425	0.151	28	0	0.000	0.104	-0.148	-11.25	-121.20	0.00	-5.75
16000	0.020	6.839	0.140	30	0	0.000	0.064	-0.087	-17.19	-128.69	0.00	0.69
17000	0.013	17.958	0.339	35	0	0.000	0.027	0.879	-25.11	-148.00	0.00	-3.36
18000	0.008	39.916	0.127	31	0	0.000	0.020	-0.017	-8.18	-132.49	0.00	0.69
19000	0.045	366.397	0.115	28	0	0.000	0.022	-0.512	-17.23	-121.21	0.00	0.00
20000	0.006	251.795	0.058	32	0	0.000	0.058	-0.444	-13.28	-136.33	-0.00	0.00
