state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.072	33.115	1.796	40	0	0.000	0.148	2.083	-104.71	-168.05	0.00	-0.05
2000	0.003	108.247	1.179	40	0	0.000	0.373	0.968	-98.70	-168.03	0.00	0.00
3000	0.003	21.023	1.021	43	0	0.000	0.342	1.392	-92.38	-180.34	-0.02	0.00
4000	0.009	108.923	1.016	51	0	0.000	0.226	-1.285	-101.06	-214.15	0.00	0.00
5000	0.014	12.068	0.878	39	0	0.000	0.345	1.008	-85.95	-163.96	-0.00	0.00
6000	0.038	24.001	0.698	37	0	0.000	0.411	1.358	-89.37	-155.93	-0.00	0.51
7000	0.077	57.279	1.200	43	0	0.000	0.227	0.834	-93.03	-180.35	0.00	0.00
8000	0.002	56.014	0.783	45	0	0.000	0.292	1.539	-96.95	-188.67	0.00	0.95
9000	0.001	132.576	1.427	36	0	0.000	0.280	0.874	-89.93	-151.97	0.00	3.25
10000	0.063	180.617	1.460	36	0	0.000	0.262	1.492	-102.79	-151.99	0.00	1.74
11000	0.039	27.395	0.583	36	0	0.000	0.287	0.120	-96.38	-151.96	0.00	-0.47
12000	0.046	29.006	1.127	36	0	0.000	0.216	0.848	-84.65	-151.96	0.00	-2.43
13000	0.045	29.937	1.420	40	0	0.000	0.201	0.812	-90.00	-168.04	-0.01	-0.69
14000	0.012	46.212	1.419	38	0	0.000	0.414	0.373	-100.11	-159.96	0.00	-1.75
15000	0.095	83.666	0.451	37	0	0.000	0.327	0.231	-82.90	-155.95	-0.00	-0.69
16000	0.107	148.910	0.994	46	0	0.000	0.156	0.481	-91.38	-192.90	0.00	-1.99
17000	0.018	16.615	1.327	38	0	0.000	0.289	1.900	-94.38	-159.94	-0.01	0.00
18000	0.001	20.999	1.378	40	0	0.000	0.284	1.355	-94.96	-168.03	-0.02	0.00
19000	0.101	40.306	0.868	39	0	0.000	0.186	-0.094	-85.35	-163.98	-0.06	0.00
20000	0.007	88.248	0.971	43	0	0.000	0.316	1.013	-91.51	-180.36	-0.00	0.00
21000	0.001	59.411	1.375	47	0	0.000	0.310	0.978	-97.51	-197.08	0.00	0.00
22000	0.023	412.422	0.670	45	0	0.000	0.310	0.777	-86.91	-188.69	0.00	0.00
23000	0.011	3097.198	0.305	42	0	0.000	0.312	0.645	-91.16	-176.37	0.00	-0.85
24000	0.001	194.973	0.965	39	0	0.000	0.388	1.180	-94.47	-164.00	-0.00	0.00
25000	0.036	36.165	0.598	46	0	0.000	0.419	0.276	-88.09	-192.85	0.00	-1.47
26000	0.045	63.824	1.304	35	0	0.000	0.342	0.340	-87.55	-148.01	-0.00	0.00
27000	0.050	43.423	1.350	48	0	0.000	0.414	1.547	-107.54	-201.33	0.00	0.00
28000	0.056	163.086	0.463	44	0	0.000	0.127	0.688	-88.25	-184.51	0.00	0.00
29000	0.056	240.428	1.055	43	0	0.000	0.171	0.834	-94.31	-180.39	0.00	0.00
30000	0.014	8.464	0.516	42	0	0.000	0.307	0.738	-87.99	-176.20	-0.00	0.69
31000	0.002	72.615	1.385	38	0	0.000	0.271	0.952	-87.64	-159.94	0.00	-1.85
32000	0.000	28.162	1.253	39	0	0.000	0.264	1.100	-94.30	-163.98	0.00	-0.69
33000	0.143	40.661	1.260	32	0	0.000	0.239	0.370	-84.67	-136.34	0.00	0.00
34000	0.013	67.464	1.092	36	0	0.000	0.203	0.688	-88.11	-151.99	0.00	4.87
35000	0.077	45.557	0.715	42	0	0.000	0.238	0.675	-96.53	-176.22	0.00	4.66
36000	0.047	25.717	1.254	28	0	0.000	0.528	0.458	-108.52	-121.20	0.00	-2.40
37000	0.060	18.947	0.853	42	0	0.000	0.250	0.562	-88.98	-176.21	0.00	-7.48
38000	0.025	92.800	0.954	34	0	0.000	0.185	0.640	-85.81	-144.09	0.00	0.69
39000	0.022	47.894	0.471	40	0	0.000	0.332	0.313	-85.44	-168.04	-0.03	0.00
40000	0.082	173.458	1.154	39	0	0.000	0.245	0.593	-94.32	-163.99	-0.00	0.69
41000	0.013	16.791	0.834	36	0	0.000	0.359	0.775	-89.45	-151.96	-0.00	0.00
42000	0.037	103.267	1.147	41	0	0.000	0.268	0.919	-88.75	-172.12	0.00	0.27
43000	0.135	32.256	1.383	38	0	0.000	0.184	2.099	-90.52	-159.94	0.00	-0.17
44000	0.007	16.555	1.218	41	0	0.000	0.289	-0.217	-95.79	-172.11	0.00	-1.50
45000	0.012	15.696	0.611	32	0	0.000	0.336	0.794	-83.52	-136.32	0.00	-1.17
46000	0.009	208.740	0.449	43	0	0.000	0.146	1.544	-86.38	-180.36	0.00	0.91
47000	0.041	52.800	0.693	46	0	0.000	0.157	0.987	-97.63	-192.87	0.00	-1.42
48000	0.064	46.666	0.875	45	0	0.000	0.138	0.979	-100.08	-188.70	-0.00	0.00
49000	0.002	86.359	0.336	37	0	0.000	0.382	-0.054	-91.67	-155.96	-0.00	0.00
