state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.009	11.834	0.473	33	0	0.000	0.315	3.520	-81.85	-140.18	0.00	0.00
2000	0.004	10.108	0.487	43	0	0.000	0.362	3.902	-87.46	-180.34	0.02	0.00
3000	0.024	264.639	0.675	38	0	0.000	0.248	3.231	-97.04	-159.96	0.00	-0.89
4000	0.006	20.058	0.777	42	0	0.000	0.177	3.315	-85.14	-176.21	-0.00	0.69
5000	0.034	28.773	1.256	39	0	0.000	0.290	3.125	-84.14	-163.98	0.00	0.69
6000	0.033	37.164	1.150	39	0	0.000	0.302	3.469	-84.95	-163.97	0.00	1.99
7000	0.016	19.906	0.284	39	0	0.000	0.360	3.313	-86.27	-163.96	-0.00	-0.69
8000	0.064	25.709	1.127	33	0	0.000	0.286	3.493	-83.68	-140.20	0.00	1.48
9000	0.003	36.362	0.342	32	0	0.000	0.406	2.720	-87.24	-136.32	0.00	-3.26
10000	0.000	37.822	0.878	37	0	0.000	0.325	4.383	-85.73	-155.93	0.00	0.36
11000	0.000	4.283	0.890	31	0	0.000	0.320	3.114	-84.57	-132.49	-0.00	0.69
12000	0.006	21.196	0.430	38	0	0.000	0.249	3.957	-88.47	-159.94	0.00	0.00
13000	0.001	35.973	1.370	35	0	0.000	0.286	2.371	-87.25	-148.01	0.00	-6.03
14000	0.025	34.387	1.402	36	0	0.000	0.143	3.088	-82.50	-151.97	-0.00	0.00
15000	0.009	25.222	0.810	35	0	0.000	0.239	2.526	-83.95	-148.01	-0.00	0.00
16000	0.037	63.647	1.162	40	0	0.000	0.185	2.888	-88.27	-168.04	-0.00	0.00
17000	0.017	270.620	0.778	38	0	0.000	0.253	4.160	-86.94	-159.98	-0.00	0.00
18000	0.018	20.977	1.454	35	0	0.000	0.249	3.184	-83.72	-148.01	-0.00	-0.69
19000	0.019	14.867	0.779	41	0	0.000	0.253	2.867	-87.82	-172.10	0.00	-0.69
20000	0.011	65.987	1.392	42	0	0.000	0.153	2.768	-87.47	-176.22	0.00	0.00
21000	0.007	47.142	0.585	40	0	0.000	0.257	1.986	-86.83	-168.03	0.00	-0.05
22000	0.032	157.467	0.514	43	0	0.000	0.312	4.198	-86.31	-180.34	-0.00	0.00
23000	0.067	107.804	1.152	38	0	0.000	0.312	3.019	-95.32	-159.95	0.01	0.00
24000	0.006	11.608	0.396	41	0	0.000	0.316	2.898	-81.57	-172.10	-0.00	1.49
25000	0.214	14.025	1.185	33	0	0.000	0.215	2.985	-83.31	-140.19	0.01	-1.72
26000	0.013	12.683	0.335	42	0	0.000	0.314	3.579	-74.57	-176.20	0.00	-3.11
27000	0.014	43.870	1.235	42	0	0.000	0.330	2.569	-91.07	-176.21	0.00	-1.41
28000	0.007	77.647	1.632	41	0	0.000	0.242	3.848	-85.77	-172.12	0.00	4.73
29000	0.043	112.610	1.849	38	0	0.000	0.062	3.644	-94.41	-159.97	-0.00	-0.69
30000	0.023	17.488	0.270	37	0	0.000	0.398	3.297	-87.73	-155.93	0.00	-0.92
31000	0.006	87.042	0.450	37	0	0.000	0.382	3.719	-85.99	-155.93	-0.00	-0.69
32000	0.009	21.685	1.099	41	0	0.000	0.419	2.601	-90.26	-172.10	0.00	0.00
33000	0.009	18.583	0.850	42	0	0.000	0.217	1.925	-82.73	-176.20	0.00	0.00
34000	0.007	646.872	0.939	41	0	0.000	0.361	3.089	-88.81	-172.13	0.00	-3.22
35000	0.032	95.855	1.554	41	0	0.000	0.485	2.554	-107.71	-172.14	-0.00	0.00
36000	0.003	30.360	0.671	39	0	0.000	0.260	3.701	-78.84	-163.96	0.00	0.00
37000	0.030	91.316	2.060	41	0	0.000	0.174	2.132	-96.46	-172.15	0.00	0.00
38000	0.013	33.070	0.931	38	0	0.000	0.365	2.672	-83.43	-159.94	0.00	0.00
39000	0.003	28.122	0.971	39	0	0.000	0.394	3.056	-87.25	-163.97	0.00	0.00
40000	0.005	69.767	0.947	40	0	0.000	0.360	2.962	-89.89	-168.03	-0.00	0.00
41000	0.013	27.127	1.264	29	0	0.000	0.296	3.209	-85.90	-124.92	0.00	0.00
42000	0.011	22.549	1.119	38	0	0.000	0.275	2.205	-81.95	-159.93	0.00	-1.58
43000	0.020	44.340	0.864	49	0	0.000	0.218	4.171	-88.87	-205.58	0.00	-3.51
44000	0.045	55.530	0.567	38	0	0.000	0.282	1.685	-87.99	-159.94	-0.00	0.00
45000	0.033	48.232	1.403	37	0	0.000	0.263	2.328	-89.14	-155.94	0.00	1.35
46000	0.018	15.343	1.724	49	0	0.000	0.046	2.750	-84.37	-205.58	-0.02	0.00
47000	0.020	12.268	1.604	42	0	0.000	0.190	2.480	-80.55	-176.21	-0.00	0.00
48000	0.008	12.054	0.641	42	0	0.000	0.291	2.810	-90.38	-176.20	-0.00	0.00
49000	0.014	30.856	1.164	42	0	0.000	0.287	2.511	-89.48	-176.21	0.00	0.00
50000	0.008	38.499	0.612	37	0	0.000	0.281	3.004	-77.54	-155.93	0.00	0.00
51000	0.019	22.725	0.673	36	0	0.000	0.321	2.145	-85.89	-151.95	-0.00	-0.69
52000	0.053	82.828	0.979	40	0	0.000	0.227	3.751	-84.79	-168.03	-0.00	0.00
