StudyDay,StudyTime,Group,Treatment,TypeBroadcast,SpeciesBroadcast,Filenumber,Order,Test subject,LatencyDr,NbDrum,LatencyScr,NbScream,MaxApproach,LatencyMaxApproach
1,516,1,Same,Major,Dmajor,125519_PB1,1,WP2,600,0,296.934514,3,3,2
1,528,1,Other,Sympatric,Dminor,171122_PB1,2,WP2,600,0,336.013396,1,1,4
4,636,2,Same,Major,Dmajor,45006_PB1,1,WP6,32.422921,1,429.542527,51,2,3
4,654,2,Other,Sympatric,Pcanus,76168_PB1,2,WP6,600,0,600,0,1,4
5,494,3,Other,Allopatric,Dsyriacus,314893_PB1,1,WP7,58.845609,10,137.701391,7,2,3
5,509,3,Same,Major,Dmajor,307521_PB1,2,WP7,377.036772,7,600,0,2,2
7,642,4,Other,Allopatric,Dhyperythrus,221083_PB1,1,WP9,313.658098,10,345.42393,1,1,4
7,655,4,Same,Major,Dmajor,239991_PB1,2,WP9,600,0,142.656738,7,1,4
8,570,1,Other,Sympatric,Dminor,312823_PB1,1,WP11,8.189917,20,53.782085,15,1,4
8,582,1,Same,Major,Dmajor,308030_PB1,2,WP11,124.5776,11,21.163606,83,3,2
6,487,2,Other,Sympatric,Pcanus,169741_PB1,1,WP8,24.138241,20,600,0,1,4
6,500,2,Same,Major,Dmajor,169486_PB1,2,WP8,92.088821,4,27.939862,216,2,1
8,480,3,Same,Major,Dmajor,131315_PB1,1,WP10,5.940213,24,27.124792,10,2,2
8,493,3,Other,Allopatric,Dsyriacus,314895_PB1,2,WP10,96.539955,9,149.847555,42,2,2
9,505,4,Same,Major,Dmajor,239991_PB1,1,WP12,199.231531,42,64.49842,19,1,4
9,519,4,Other,Allopatric,Dhyperythrus,221083_PB1,2,WP12,35.166961,16,53.043873,11,1,4
21,494,2,Same,Major,Dmajor,169486_PB1,1,WP14,103.660654,25,38.141945,23,3,1
21,506,2,Other,Sympatric,Pcanus,169741_PB1,2,WP14,176.373906,3,121.731277,13,1,4
26,519,2,Other,Sympatric,Pcanus,76168_PB1,1,WP15,148.969715,17,508.291663,1,1,4
26,531,2,Same,Major,Dmajor,45006_PB1,2,WP15,61.4431,7,299.829511,5,3,2
26,639,1,Other,Sympatric,Dminor,171122_PB1,1,WP16,600,0,600,0,1,4
26,651,1,Same,Major,Dmajor,125519_PB1,2,WP16,168.627431,14,96.311658,86,2,2
27,504,3,Other,Allopatric,Dsyriacus,314895_PB1,1,WP17,156.046349,7,600,0,1,4
27,516,3,Same,Major,Dmajor,131315_PB1,2,WP17,600,0,402.35062,1,3,3
27,588,3,Same,Major,Dmajor,307521_PB1,1,WP18,78.433561,3,21.848637,2,1,4
27,600,3,Other,Allopatric,Dsyriacus,314893_PB1,2,WP18,199.852103,11,30.119863,67,3,1
32,503,1,Same,Major,Dmajor,308030_PB1,1,WP19,11.235084,18,47.802131,7,3,1
32,515,1,Other,Sympatric,Dminor,312823_PB1,2,WP19,188.979568,5,600,0,1,4
34,488,4,Same,Major,Dmajor,266587_PB1,1,WP21,160.947149,54,65.770353,30,2,2
34,501,4,Other,Allopatric,Dhyperythrus,243550_PB1,2,WP21,13.501858,30,74.637783,79,3,3
33,538,4,Other,Allopatric,Dhyperythrus,243550_PB1,1,WP20,600,0,454.654596,2,1,4
33,550,4,Same,Major,Dmajor,266587_PB1,2,WP20,286.66679,33,202.838303,2,1,4
34,578,2,Other,Sympatric,Pcanus,98174_PB1,1,WP22,600,0,53.83087,25,1,4
34,591,2,Same,Major,Dmajor,197901_PB1,2,WP22,600,0,600,0,2,2
35,552,2,Same,Major,Dmajor,197901_PB1,1,WP23,42.898095,19,8.811112,78,3,2
35,567,2,Other,Sympatric,Pcanus,98174_PB1,2,WP23,21.245209,55,600,0,2,4
36,551,1,Other,Sympatric,Dminor,310709_PB1,1,WP24,600,0,23.972408,95,3,1
36,562,1,Same,Major,Dmajor,321386_PB1,2,WP24,582.452487,2,38.237063,26,3,2
37,478,1,Same,Major,Dmajor,321386_PB1,1,WP25,88.081939,1,14.648784,11,1,4
37,491,1,Other,Sympatric,Dminor,310709_PB1,2,WP25,600,0,547.098881,2,1,4
39,600,4,Same,Major,Dmajor,162812_PB1,1,WP27,600,0,397.39871,16,1,4
39,615,4,Other,Allopatric,Dhyperythrus,111622_PB1,2,WP27,231.423967,1,14.465186,77,3,2
40,512,4,Other,Allopatric,Dhyperythrus,111622_PB1,1,WP28,264.955731,10,9.778606,51,3,1
40,532,4,Same,Major,Dmajor,162812_PB1,2,WP28,44.92004,19,87.036566,5,2,2
39,498,3,Other,Allopatric,Dsyriacus,253845_PB1,1,WP26,564.711799,4,10.922573,20,2,2
39,514,3,Same,Major,Dmajor,129154_PB1,2,WP26,600,0,10.557107,113,3,1
43,563,3,Same,Major,Dmajor,129154_PB1,1,WP29,600,0,27.898624,32,3,1
43,576,3,Other,Allopatric,Dsyriacus,253845_PB1,2,WP29,582.84245,2,391.826575,2,3,2
